"category","over_represented_pvalue_wal","numDEInCat","numInCat","over_represented_pvalue_naive","db","padj_wal","padj_naive","classification"
"GO_Biological_Process_2026::Regulation of Cell Cycle Process (GO:0010564)",0.0235389088932577,49,144,0.0616918875976513,"GO_Biological_Process_2026",1,0.774691583815205,"n.s."
"GO_Biological_Process_2026::DNA Methylation-Dependent Constitutive Heterochromatin Formation (GO:0006346)",0.0238104940745141,9,15,0.00915558611350907,"GO_Biological_Process_2026",1,0.429254595386634,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Cytoplasmic Pattern Recognition Receptor Signaling Pathway (GO:0039532)",0.0238591852378326,18,38,0.0081508374744593,"GO_Biological_Process_2026",1,0.405110385939071,"n.s."
"GO_Biological_Process_2026::Constitutive Heterochromatin Formation (GO:0140719)",0.0238815827605244,18,39,0.0112563453548024,"GO_Biological_Process_2026",1,0.497198198476964,"n.s."
"GO_Biological_Process_2026::Regulation of mRNA Catabolic Process (GO:0061013)",0.0240656059688949,20,48,0.0275277789138385,"GO_Biological_Process_2026",1,0.615749764700884,"n.s."
"GO_Biological_Process_2026::Synapse Pruning (GO:0098883)",0.0252237588038348,5,6,0.00776183027658872,"GO_Biological_Process_2026",1,0.397392327695349,"n.s."
"GO_Biological_Process_2026::Mature B Cell Differentiation Involved in Immune Response (GO:0002313)",0.0259585992469095,7,13,0.0431068770224815,"GO_Biological_Process_2026",1,0.709173802317223,"n.s."
"GO_Molecular_Function_2026::Acetylglucosaminyltransferase Activity (GO:0008375)",0.0260670268996493,16,35,0.0182202358741187,"GO_Molecular_Function_2026",1,0.57110830326404,"n.s."
"GO_Biological_Process_2026::Regulation of Glial Cell Migration (GO:1903975)",0.0261302832899742,3,5,0.136298862930939,"GO_Biological_Process_2026",1,0.889537304337194,"n.s."
"GO_Molecular_Function_2026::C-X-C Chemokine Receptor Activity (GO:0016494)",0.0261566520003015,4,5,0.0234877348341638,"GO_Molecular_Function_2026",1,0.57110830326404,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Receptor Signaling Pathway via JAK-STAT (GO:0046426)",0.0261959306137166,11,22,0.0228431917960128,"GO_Biological_Process_2026",1,0.576078960421316,"n.s."
"GO_Cellular_Component_2026::Specific Granule Lumen (GO:0035580)",0.0263436614687222,22,45,0.00219758531514707,"GO_Cellular_Component_2026",0.584142058654275,0.0466986879468753,"GC-driven"
"GO_Molecular_Function_2026::C-C Chemokine Receptor Activity (GO:0016493)",0.0264262220820702,9,22,0.131583334450687,"GO_Molecular_Function_2026",1,0.963827673583069,"n.s."
